Category: All categories

Month,Mathematics: (Worldwide)
2004-01,72
2004-02,77
2004-03,81
2004-04,76
2004-05,77
2004-06,73
2004-07,52
2004-08,56
2004-09,77
2004-10,77
2004-11,76
2004-12,66
2005-01,70
2005-02,71
2005-03,73
2005-04,72
2005-05,73
2005-06,68
2005-07,48
2005-08,53
2005-09,72
2005-10,72
2005-11,70
2005-12,58
2006-01,63
2006-02,67
2006-03,68
2006-04,63
2006-05,68
2006-06,60
2006-07,42
2006-08,47
2006-09,65
2006-10,64
2006-11,65
2006-12,53
2007-01,58
2007-02,59
2007-03,64
2007-04,58
2007-05,66
2007-06,59
2007-07,40
2007-08,45
2007-09,63
2007-10,64
2007-11,64
2007-12,55
2008-01,60
2008-02,61
2008-03,64
2008-04,65
2008-05,66
2008-06,60
2008-07,41
2008-08,44
2008-09,66
2008-10,65
2008-11,66
2008-12,55
2009-01,60
2009-02,65
2009-03,71
2009-04,65
2009-05,72
2009-06,64
2009-07,43
2009-08,48
2009-09,68
2009-10,73
2009-11,74
2009-12,62
2010-01,67
2010-02,72
2010-03,82
2010-04,73
2010-05,79
2010-06,71
2010-07,46
2010-08,48
2010-09,71
2010-10,76
2010-11,77
2010-12,65
2011-01,68
2011-02,75
2011-03,78
2011-04,72
2011-05,80
2011-06,71
2011-07,47
2011-08,49
2011-09,77
2011-10,82
2011-11,83
2011-12,72
2012-01,75
2012-02,83
2012-03,88
2012-04,81
2012-05,96
2012-06,75
2012-07,51
2012-08,54
2012-09,83
2012-10,82
2012-11,84
2012-12,74
2013-01,76
2013-02,82
2013-03,80
2013-04,81
2013-05,86
2013-06,70
2013-07,46
2013-08,50
2013-09,82
2013-10,82
2013-11,84
2013-12,73
2014-01,74
2014-02,82
2014-03,83
2014-04,79
2014-05,87
2014-06,70
2014-07,45
2014-08,53
2014-09,88
2014-10,92
2014-11,89
2014-12,78
2015-01,79
2015-02,86
2015-03,90
2015-04,87
2015-05,91
2015-06,71
2015-07,43
2015-08,54
2015-09,91
2015-10,92
2015-11,93
2015-12,78
2016-01,78
2016-02,88
2016-03,87
2016-04,88
2016-05,89
2016-06,64
2016-07,41
2016-08,55
2016-09,94
2016-10,93
2016-11,92
2016-12,81
2017-01,84
2017-02,95
2017-03,95
2017-04,86
2017-05,92
2017-06,63
2017-07,43
2017-08,56
2017-09,93
2017-10,98
2017-11,98
2017-12,82
2018-01,83
2018-02,93
2018-03,91
2018-04,89
2018-05,90
2018-06,61
2018-07,43
2018-08,58
2018-09,98
2018-10,97
2018-11,96
2018-12,82
2019-01,85
2019-02,93
2019-03,92
2019-04,90
2019-05,90
2019-06,61
2019-07,47
2019-08,59
2019-09,100
2019-10,98
2019-11,95
2019-12,82
2020-01,85
2020-02,92
2020-03,75
